Song Name,Artist Name,Album Name,Release Date,Popularity,Song Duration
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,92,251.667
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,100,210.373
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,97,186.365
Espresso,Sabrina Carpenter,Espresso,2024-04-12,98,175.459
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,83,157.279
Who,Jimin,MUSE,2024-07-19,95,170.887
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,96,195.824
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,97,218.423
Big Dawgs,Hanumankind,Big Dawgs,2024-07-09,92,190.666
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,91,180.304
Good Graces,Sabrina Carpenter,Short n' Sweet,2024-08-23,80,185.265
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,No Strings Attached,2000-03-21,90,200.4
Guess featuring Billie Eilish,Charli xcx,Guess featuring Billie Eilish,2024-08-01,92,143.33
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23,80,171.869
Too Sweet,Hozier,Unreal Unearth: Unheard,2024-03-22,88,251.424
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,88,171.291
New Woman (feat. ROSALÍA),LISA,New Woman (feat. ROSALÍA),2024-08-15,90,179.789
Gata Only,FloyyMenor,EL COMIENZO,2024-08-09,77,222.0
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,91,210.688
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2024-08-15,81,178.205
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,95,274.192
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,94,155.151
Juno,Sabrina Carpenter,Short n' Sweet,2024-08-23,79,223.192
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,Alibi (with Pabllo Vittar & Yseult),2024-06-28,92,161.655
Sharpest Tool,Sabrina Carpenter,Short n' Sweet,2024-08-23,79,218.284
Move,Adam Port,Move,2024-06-07,91,177.598
End of Beginning,Djo,DECIDE,2022-09-16,92,159.245
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,89,228.639
Coincidence,Sabrina Carpenter,Short n' Sweet,2024-08-23,79,164.202
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,91,240.4
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,91,184.841
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,91,183.956
The Night We Met,Lord Huron,Strange Trails,2015-04-06,90,208.211
Stargazing,Myles Smith,Stargazing,2024-05-10,92,172.533
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,91,244.684
Cruel Summer,Taylor Swift,Lover,2019-08-23,92,178.426
Slim Pickins,Sabrina Carpenter,Short n' Sweet,2024-08-23,78,152.195
Austin (Boots Stop Workin'),Dasha,What Happens Now?,2024-02-16,91,171.782
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,90,261.466
Apple,Charli xcx,BRAT,2024-06-07,89,151.739
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,88,242.373
LUNA,Feid,FERXXOCALIPSIS,2023-12-01,91,196.8
UWAIE,Kapo,UWAIE,2024-08-15,80,172.427
Dumb & Poetic,Sabrina Carpenter,Short n' Sweet,2024-08-23,77,133.478
Ohnana,Kapo,Ohnana,2024-06-06,89,156.577
i like the way you kiss me,Artemas,yustyna,2024-07-11,80,142.514
Don’t Smile,Sabrina Carpenter,Short n' Sweet,2024-08-23,77,206.295
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,89,86.983
LA PATRULLA,Peso Pluma,ÉXODO,2024-06-20,86,130.614
Slow It Down,Benson Boone,Fireworks & Rollerblades,2024-04-05,89,161.831
