Song Name,Artist Name,Album Name,Release Date,Popularity
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,92
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,100
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,97
Espresso,Sabrina Carpenter,Espresso,2024-04-12,98
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,83
Who,Jimin,MUSE,2024-07-19,95
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,96
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,97
Big Dawgs,Hanumankind,Big Dawgs,2024-07-09,92
Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,91
Good Graces,Sabrina Carpenter,Short n' Sweet,2024-08-23,80
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,No Strings Attached,2000-03-21,90
Guess featuring Billie Eilish,Charli xcx,Guess featuring Billie Eilish,2024-08-01,92
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23,80
Too Sweet,Hozier,Unreal Unearth: Unheard,2024-03-22,88
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31,88
New Woman (feat. ROSALÍA),LISA,New Woman (feat. ROSALÍA),2024-08-15,90
Gata Only,FloyyMenor,EL COMIENZO,2024-08-09,77
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,91
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2024-08-15,81
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,95
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,94
Juno,Sabrina Carpenter,Short n' Sweet,2024-08-23,79
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,Alibi (with Pabllo Vittar & Yseult),2024-06-28,92
Sharpest Tool,Sabrina Carpenter,Short n' Sweet,2024-08-23,79
Move,Adam Port,Move,2024-06-07,91
End of Beginning,Djo,DECIDE,2022-09-16,92
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,89
Coincidence,Sabrina Carpenter,Short n' Sweet,2024-08-23,79
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,91
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,91
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,91
The Night We Met,Lord Huron,Strange Trails,2015-04-06,90
Stargazing,Myles Smith,Stargazing,2024-05-10,92
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,91
Cruel Summer,Taylor Swift,Lover,2019-08-23,92
Slim Pickins,Sabrina Carpenter,Short n' Sweet,2024-08-23,78
Austin (Boots Stop Workin'),Dasha,What Happens Now?,2024-02-16,91
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,90
Apple,Charli xcx,BRAT,2024-06-07,89
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,88
LUNA,Feid,FERXXOCALIPSIS,2023-12-01,91
UWAIE,Kapo,UWAIE,2024-08-15,80
Dumb & Poetic,Sabrina Carpenter,Short n' Sweet,2024-08-23,77
Ohnana,Kapo,Ohnana,2024-06-06,89
i like the way you kiss me,Artemas,yustyna,2024-07-11,80
Don’t Smile,Sabrina Carpenter,Short n' Sweet,2024-08-23,77
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,89
LA PATRULLA,Peso Pluma,ÉXODO,2024-06-20,86
Slow It Down,Benson Boone,Fireworks & Rollerblades,2024-04-05,89
